,Bucket range,Monthly listeners,Name,Popularity Index,Playlists Likes,Playlist AVG Release Time,AVG Release Time Artist,Career Started,Time Since Latest Release,Number of Tracks,AVG Release Time Per Track Artist,Average Likes,Average Comments,Average Release Time IG,Average Likes.1,Average Comments.1,Average Release Time IG.1
0,7-16606,7.0,Neptune M.,0,1,445,290,1025,154,6,146,100,2,18,0,0,0
1,16606-33206,17900.0,Ciça Moreira,24,1,782,75,978,4,44,21,3854,36,1,1182,3,37
2,33206-49806,34800.0,Los Telepáticos,23,133,1217,199,1807,124,53,34,1199,1,6,11759,28,13
3,49806-66406,52000.0,Year Of The Goat,28,1,770,999,3875,1411,38,98,79,3,10,25181,27,1
4,66406-83006,71500.0,Bonafide,32,1,770,539,5239,1047,97,54,51,1,3,0,0,0
5,83006-99606,91600.0,Rose Gray,32,1,256,175,1641,47,34,46,3310,9,3,1610,25,7
6,99606-116206,100200.0,Brass Against,34,1,770,135,2133,25,72,29,8238,19,4,0,0,0
7,116206-132806,117600.0,Link Lewis,33,1,256,114,1732,131,15,115,993,47,40,1041494,295,3
8,132806-149406,136500.0,Kat Eaton,33,1,256,192,2948,116,32,92,396,2,9,600028,8210,1
9,149406-166006,159300.0,Steaming Satellites,36,1,858,709,4211,18,59,71,320,6,62,0,0,0
10,166006-182606,167500.0,Lyves,37,1,256,152,3065,11,27,108,882,44,29,144047,500,4
12,199206-215806,203100.0,little hurricane,37,1,770,574,3613,116,85,42,4300,8,15,10146,33,34
17,282206-298806,294900.0,Joshua Burnside,42,1,445,270,3793,242,111,33,2041,4,6,0,0,0
21,348606-365206,352200.0,Lily Moore,41,1,256,144,1910,33,54,34,3097,16,2,402795,644,6
23,381806-398406,392800.0,Ash,42,133,1217,510,10516,305,410,24,3523,14,2,338,4,6
25,415006-431606,431300.0,Ty Segall,45,1,770,235,5298,361,295,17,2994,9,29,285266,136,1
26,431606-448206,433600.0,Public Image Ltd.,42,133,1217,902,16268,1824,416,38,7904,19,1,2406,42,7
29,481406-498006,492500.0,The Chats,49,133,1217,434,2443,333,57,42,10893,48,7,0,0,0
33,547806-564406,551600.0,Newton Faulkner,46,137,597,496,6071,235,240,24,5602,35,2,15388,27,2
35,581006-597606,588100.0,Baroness,46,1,770,1526,5795,4,95,61,18647,67,4,0,0,0
36,597606-614206,611500.0,Cari Cari,46,133,1217,1083,3400,18,33,103,3308,28,4,1768,23,6
37,614206-630806,618000.0,Pixie Lott,45,1,256,488,5310,1240,128,41,77895,140,4,0,0,0
40,664006-680606,677700.0,Banes World,47,137,597,996,2694,39,15,179,18249,130,161,600029,8210,1
45,747006-763606,763400.0,Yellow Days,48,137,597,303,2469,181,81,30,29844,38,32,50935,121,4
54,896406-913006,909400.0,The Mayries,52,137,597,104,2411,11,122,18,350,5,4,348657,451,3
59,979406-996006,993400.0,Laura Marling,51,137,597,448,6041,718,211,27,22908,206,57,2089,21,170
60,996006-1012606,997700.0,The Jesus and Mary Chain,50,133,1217,2891,13755,0,401,34,12103,24,4,2240,12,13
66,1095606-1112206,1100000.0,The Stooges,49,133,1217,1150,19921,361,571,34,631,9,22,6191,30,3
72,1195206-1211806,1200000.0,Bibio,50,9,843,460,5278,133,208,24,2299,14,1,513,10,11
78,1294806-1311406,1300000.0,The Breeders,51,133,1217,3156,12102,21,88,135,8955,35,4,4741,44,409
84,1394406-1411006,1400000.0,Jakob,53,137,597,225,2741,1390,13,195,12813,169,144,2624,43,219
96,1593606-1610206,1600000.0,Eve 6,51,133,1217,910,7321,39,85,85,1867,17,4,199,2,3
120,1992006-2008606,2000000.0,King Gizzard &amp; The Lizard Wizard,64,133,1217,157,4287,32,288,13,79053,383,10,152,10,37
132,2191206-2207806,2200000.0,Wolf Alice,57,133,1217,378,3502,228,106,32,67722,81,2,340,2,6
138,2290806-2307406,2300000.0,Gregory Porter,58,1,256,331,4641,4,235,18,30698,136,2,99464,148,3
162,2689206-2705806,2700000.0,Maverick Sabre,58,1,256,365,4581,61,191,23,20231,31,6,1615477,4616,6
168,2788806-2805406,2800000.0,Tamia,59,137,597,1186,8325,1110,136,61,209506,263,3,45386181,4410,1
174,2888406-2905006,2900000.0,Regina Spektor,58,137,597,1051,8043,347,223,34,14496,78,1,78,5,22
210,3486006-3502606,3500000.0,P.O.D.,60,1,770,1259,10789,277,211,49,14957,91,6,0,0,0
253,4199806-4216406,4200000.0,Fleet Foxes,62,9,843,1194,5579,251,108,51,2009,22,3,212,6,98
259,4299406-4316006,4300000.0,Joy Division,61,133,1217,4447,16118,4428,180,88,71899,172,13,50935,121,4
283,4697806-4714406,4700000.0,Ben Howard,64,137,597,801,4581,32,122,37,41620,97,4,99464,148,3
295,4897006-4913606,4900000.0,José González,62,137,597,839,5776,88,103,56,17498,91,9,128145,273,74
301,4996606-5013206,5000000.0,Paolo Nutini,65,137,597,712,6258,382,98,62,3209,127,4,0,0,0
349,5793406-5810006,5800000.0,The xx,64,137,597,639,5097,239,93,54,117387,110,12,34622,77,2
361,5992606-6009206,6000000.0,New Order,63,133,1217,2056,15525,172,304,51,63163,185,6,496,16,18
433,7187805-7204405,7200000.0,The Temper Trap,64,137,597,639,6085,117,98,62,12545,25,34,334818,281,6
475,7885005-7901605,7900000.0,Nina Simone,66,9,843,913,23764,19,658,36,47376,86,2,415,22,24
524,8698405-8715005,8700000.0,Gryffin,67,137,597,61,2733,25,257,10,82977,64,2,0,0,0
536,8897605-8914205,8900000.0,alt-J,68,137,597,291,4158,81,190,21,36460,182,3,56390,258,46
560,9296005-9312605,9300000.0,Pixies,68,133,1217,352,13347,291,845,15,64952,87,4,0,0,0
596,9893605-9910205,9900000.0,Colbie Caillat,67,137,597,763,6041,4,156,37,55169,71,1,4129004,4891,2
620,10292005-10308605,10300000.0,Mumford &amp; Sons,70,137,597,531,4945,970,135,36,133034,272,6,1300860,208,1
626,10391605-10408205,10400000.0,James Blake,70,137,597,510,5086,20,141,36,99459,148,3,4941740,254,2
668,11088805-11105405,11100000.0,James Bay,68,137,597,283,3850,371,115,33,171013,250,1,452,16,57
680,11288005-11304605,11300000.0,Tracy Chapman,68,137,597,2848,12886,2797,121,105,32745,281,10,62825,61,4
759,12599405-12616005,12600000.0,The Strokes,74,133,1217,983,8022,144,110,72,210330,483,6,153,6,64
825,13695005-13711605,13700000.0,Muse,74,1,770,1425,8548,60,274,31,308160,439,1,590221,212,1
915,15189004-15205604,15200000.0,Milky Chance,72,137,597,458,3756,39,119,31,52442,93,1,0,0,0
975,16185004-16201604,16200000.0,John Mayer,75,137,597,985,8698,627,198,43,95628,7980,2,10643,48,4
1012,16799204-16815804,16800000.0,Jason Mraz,71,137,597,397,7580,25,293,24,108509,77,1,0,0,0
1168,19388804-19405404,19400000.0,The Lumineers,75,137,597,365,4216,431,103,40,213905,987,1,52442,93,1
1228,20384804-20401404,20400000.0,Bob Marley &amp; The Wailers,78,137,597,719,18358,361,514,34,994499,143,1,0,0,0
1433,23787803-23804403,23800000.0,Vance Joy,74,137,597,235,3710,95,161,22,78056,84,3,0,0,0
1463,24285803-24302403,24300000.0,Gorillaz,77,137,597,378,8149,141,288,27,554688,879,13,120721,98,12
1843,30593802-30610402,30600000.0,Red Hot Chili Peppers,80,137,597,1679,14221,235,300,46,679030,467,1,50934,225,33
2722,45185200-45201800,45200000.0,Arctic Monkeys,85,1,770,736,6482,270,142,44,987835,4199,27,207723,159,1
2753,45699800-45716400,45700000.0,Shawn Mendes,81,137,597,280,3120,39,199,15,13342537,5861,12,44264,1301,1
